request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r29,1790358595.410858,1790358595.463512,1790358605.213036,25,256,0.052654,9.802178
r30,1790358605.213148,1790358605.247457,1790358612.294196,18,256,0.034309,7.081048
r31,1790358605.213578,1790358605.304394,1790358612.321662,34,256,0.090816,7.108084
r32,1790358605.213956,1790358605.304397,1790358612.322027,30,256,0.090441,7.108071
r33,1790358605.214283,1790358605.304400,1790358612.322330,39,256,0.090117,7.108046
r34,1790358605.214579,1790358605.304402,1790358612.322667,47,256,0.089823,7.108088
r35,1790358605.214935,1790358605.304405,1790358612.322937,19,256,0.089470,7.108002
r36,1790358605.215210,1790358605.304408,1790358612.323223,15,256,0.089197,7.108012
r37,1790358605.215457,1790358605.304410,1790358612.323543,28,256,0.088952,7.108086
r38,1790358612.294211,1790358612.354451,1790358619.448979,61,256,0.060241,7.154768
r39,1790358612.321679,1790358612.432140,1790358616.246238,23,139,0.110461,3.924559
r40,1790358612.322037,1790358612.432142,1790358619.477046,18,256,0.110105,7.155009
r41,1790358612.322338,1790358612.432145,1790358619.477445,31,256,0.109807,7.155106
r42,1790358612.322681,1790358612.432148,1790358615.377547,17,108,0.109467,3.054866
r43,1790358612.322950,1790358612.432149,1790358619.477754,25,256,0.109200,7.154804
r44,1790358612.323236,1790358612.432152,1790358619.478074,37,256,0.108916,7.154838
r45,1790358612.323555,1790358612.432154,1790358619.478392,37,256,0.108599,7.154837
r46,1790358615.377558,1790358615.435316,1790358615.822678,17,15,0.057758,0.445119
r47,1790358615.822690,1790358615.881397,1790358622.961169,24,256,0.058707,7.138479
r48,1790358616.246254,1790358616.304790,1790358619.681015,24,122,0.058536,3.434761
r49,1790358619.448998,1790358619.511214,1790358626.606143,58,256,0.062216,7.157145
r50,1790358619.477062,1790358619.571439,1790358626.634232,39,256,0.094376,7.157169
r51,1790358619.477456,1790358619.571441,1790358623.279775,20,135,0.093985,3.802320
r52,1790358619.477764,1790358619.571443,1790358626.634587,26,256,0.093679,7.156822
r53,1790358619.478088,1790358619.571445,1790358626.634932,20,256,0.093357,7.156844
r54,1790358619.478407,1790358619.571448,1790358626.635215,20,256,0.093040,7.156808
r55,1790358619.681024,1790358619.740167,1790358626.829510,44,256,0.059143,7.148486
r56,1790358622.961185,1790358623.020803,1790358626.741326,32,134,0.059618,3.780141
r57,1790358623.279792,1790358623.337085,1790358630.426456,23,256,0.057293,7.146664
r58,1790358626.606161,1790358626.665080,1790358633.688724,16,256,0.058919,7.082564
r59,1790358626.634249,1790358626.711977,1790358633.715764,17,256,0.077728,7.081514
r60,1790358626.634603,1790358626.711980,1790358629.870723,30,115,0.077377,3.236120
r61,1790358626.634943,1790358626.711982,1790358633.715777,15,256,0.077039,7.080834
r62,1790358626.635229,1790358626.711984,1790358629.312069,53,95,0.076755,2.676840
r63,1790358626.741336,1790358626.800187,1790358633.793729,19,256,0.058851,7.052393
r64,1790358626.829523,1790358626.888562,1790358630.701650,15,139,0.059040,3.872128
r65,1790358629.312080,1790358629.370785,1790358636.181913,16,256,0.058705,6.869833
r66,1790358629.870737,1790358629.930036,1790358637.080605,18,256,0.059299,7.209868
r67,1790358637.080719,1790358637.123568,1790358644.807526,16,256,0.042849,7.726808
r68,1790358637.081212,1790358637.238247,1790358644.837190,19,256,0.157035,7.755979
r69,1790358637.081653,1790358637.238250,1790358644.223830,60,236,0.156597,7.142177
r70,1790358637.082063,1790358637.238251,1790358644.837523,44,256,0.156188,7.755459
r71,1790358637.082439,1790358637.238254,1790358644.837843,39,256,0.155815,7.755404
r72,1790358637.082807,1790358637.238256,1790358644.838228,23,256,0.155449,7.755421
r73,1790358637.083095,1790358637.238258,1790358644.838527,32,256,0.155164,7.755432
r74,1790358637.083416,1790358637.238260,1790358644.838842,13,256,0.154844,7.755426
r75,1790358637.083667,1790358637.238262,1790358644.839132,17,256,0.154595,7.755465
r76,1790358637.083908,1790358637.238264,1790358644.839519,16,256,0.154356,7.755611
r77,1790358637.084170,1790358637.238267,1790358644.839788,22,256,0.154097,7.755619
r78,1790358637.084467,1790358637.238269,1790358644.840053,64,256,0.153801,7.755586
r79,1790358637.084897,1790358637.238271,1790358644.840385,16,256,0.153374,7.755488
r80,1790358637.085146,1790358637.238273,1790358644.840715,12,256,0.153127,7.755568
r81,1790358637.085380,1790358637.238275,1790358644.840976,14,256,0.152896,7.755597
r82,1790358637.085609,1790358637.238277,1790358644.841279,13,256,0.152668,7.755669
r83,1790358644.223847,1790358644.299564,1790358651.986950,79,256,0.075717,7.763103
r84,1790358644.807543,1790358644.867802,1790358652.562293,18,256,0.060260,7.754751
r85,1790358644.837203,1790358644.969672,1790358652.591854,17,256,0.132469,7.754651
r86,1790358644.837540,1790358644.969675,1790358652.592189,21,256,0.132135,7.754649
r87,1790358644.837858,1790358644.969677,1790358652.592466,34,256,0.131819,7.754608
r88,1790358644.838241,1790358644.969679,1790358652.592789,15,256,0.131438,7.754548
r89,1790358644.838538,1790358644.969681,1790358652.593074,21,256,0.131143,7.754536
r90,1790358644.838854,1790358644.969683,1790358652.593374,18,256,0.130830,7.754520
r91,1790358644.839143,1790358644.969686,1790358652.593699,54,256,0.130543,7.754556
r92,1790358644.839530,1790358644.969687,1790358652.594026,17,256,0.130157,7.754496
r93,1790358644.839800,1790358644.969690,1790358652.594354,20,256,0.129890,7.754555
r94,1790358644.840066,1790358644.969692,1790358649.085649,27,140,0.129626,4.245583
r95,1790358644.840402,1790358644.969694,1790358651.733774,32,228,0.129292,6.893372
r96,1790358644.840730,1790358644.969696,1790358652.594606,14,256,0.128966,7.753876
r97,1790358644.840992,1790358644.969698,1790358652.594861,29,256,0.128706,7.753869
r98,1790358644.841293,1790358644.969700,1790358652.595133,17,256,0.128407,7.753839
r99,1790358649.085678,1790358649.149452,1790358650.136433,12,34,0.063774,1.050755
r100,1790358650.136444,1790358650.201818,1790358652.911456,13,89,0.065373,2.775012
r101,1790358651.733793,1790358651.802767,1790358659.509640,32,256,0.068974,7.775847
r102,1790358651.986969,1790358652.052484,1790358655.871155,15,127,0.065514,3.884186
r103,1790358652.562309,1790358652.623535,1790358660.323219,19,256,0.061226,7.760910
r104,1790358652.591870,1790358652.699998,1790358660.352810,17,256,0.108128,7.760941
r105,1790358652.592208,1790358652.700000,1790358660.353211,11,256,0.107792,7.761003
r106,1790358652.592481,1790358652.700002,1790358660.353542,25,256,0.107521,7.761060
r107,1790358652.592803,1790358652.700005,1790358660.353859,18,256,0.107201,7.761055
r108,1790358652.593087,1790358652.700007,1790358660.354185,17,256,0.106919,7.761097
r109,1790358652.593393,1790358652.700009,1790358660.354571,27,256,0.106616,7.761178
r110,1790358652.593712,1790358652.700011,1790358660.354872,29,256,0.106299,7.761161
r111,1790358652.594039,1790358652.700013,1790358659.321794,34,222,0.105974,6.727755
r112,1790358652.594368,1790358652.700015,1790358660.355155,14,256,0.105648,7.760787
r113,1790358652.594621,1790358652.700017,1790358660.355437,16,256,0.105396,7.760816
r114,1790358652.594877,1790358652.700019,1790358660.355707,19,256,0.105143,7.760831
r115,1790358652.595142,1790358652.700022,1790358659.322285,34,222,0.104880,6.727144
r116,1790358652.911467,1790358652.976201,1790358660.664552,37,256,0.064735,7.753085
r117,1790358655.871168,1790358655.935513,1790358663.617072,15,256,0.064346,7.745905
r118,1790358659.321815,1790358659.387177,1790358667.006750,16,256,0.065362,7.684935
r119,1790358659.322299,1790358659.387179,1790358662.269833,21,96,0.064880,2.947535
r120,1790358659.509655,1790358659.573637,1790358667.182756,25,256,0.063981,7.673101
r121,1790358660.323235,1790358660.385361,1790358667.963808,18,256,0.062126,7.640574
r122,1790358660.352825,1790358660.458400,1790358667.991645,29,256,0.105574,7.638819
r123,1790358660.353230,1790358660.458402,1790358667.991658,20,256,0.105172,7.638428
r124,1790358660.353557,1790358660.458404,1790358667.991668,22,256,0.104847,7.638110
r125,1790358660.353882,1790358660.458406,1790358667.991677,25,256,0.104524,7.637794
r126,1790358660.354203,1790358660.458408,1790358667.991686,38,256,0.104205,7.637483
r127,1790358660.354587,1790358660.458411,1790358665.778325,15,180,0.103824,5.423738
r128,1790358660.354889,1790358660.458413,1790358667.991695,14,256,0.103524,7.636806
r129,1790358660.355169,1790358660.458415,1790358667.991707,16,256,0.103246,7.636538
r130,1790358660.355450,1790358660.458417,1790358667.991715,17,256,0.102967,7.636266
r131,1790358660.355722,1790358660.458419,1790358667.991724,15,256,0.102696,7.636001
r132,1790358660.664564,1790358660.727642,1790358668.400387,19,256,0.063077,7.735823
r133,1790358668.400532,1790358668.430776,1790358677.620998,19,256,0.030244,9.220466
r134,1790358668.400930,1790358668.624277,1790358677.659384,26,256,0.223347,9.258455
r135,1790358668.401301,1790358668.624280,1790358677.659745,20,256,0.222979,9.258444
r136,1790358668.401590,1790358668.624282,1790358677.660161,26,256,0.222692,9.258571
r137,1790358668.401876,1790358668.624285,1790358677.660547,20,256,0.222409,9.258671
r138,1790358668.402141,1790358668.624288,1790358677.660884,17,256,0.222147,9.258744
r139,1790358668.402397,1790358668.624290,1790358677.661302,14,256,0.221893,9.258905
r140,1790358668.402635,1790358668.624292,1790358677.661663,15,256,0.221657,9.259028
r141,1790358668.402867,1790358668.624294,1790358677.662021,16,256,0.221427,9.259154
r142,1790358668.403136,1790358668.624296,1790358677.662395,14,256,0.221160,9.259259
r143,1790358668.403380,1790358668.624299,1790358677.662744,17,256,0.220919,9.259364
r144,1790358668.403626,1790358668.624301,1790358677.663046,33,256,0.220675,9.259420
r145,1790358668.403934,1790358668.624303,1790358677.663332,16,256,0.220369,9.259398
r146,1790358668.404178,1790358668.624305,1790358677.663614,33,256,0.220128,9.259436
r147,1790358668.404469,1790358668.624307,1790358677.663893,16,256,0.219838,9.259424
r148,1790358668.404722,1790358668.624310,1790358677.664253,30,256,0.219587,9.259531
r149,1790358668.404996,1790358668.624312,1790358677.664600,15,256,0.219316,9.259604
r150,1790358668.405222,1790358668.624314,1790358677.664893,17,256,0.219092,9.259671
r151,1790358668.405451,1790358668.624316,1790358677.665219,15,256,0.218865,9.259768
r152,1790358668.405745,1790358668.624318,1790358669.429127,37,24,0.218573,1.023382
r153,1790358668.406367,1790358668.624320,1790358677.665546,17,256,0.217953,9.259179
r154,1790358668.406724,1790358668.624322,1790358677.665826,35,256,0.217598,9.259102
r155,1790358668.407153,1790358668.624324,1790358676.930236,60,236,0.217172,8.523083
r156,1790358668.407633,1790358668.624327,1790358677.666117,16,256,0.216694,9.258484
r157,1790358668.408011,1790358668.624329,1790358677.666421,24,256,0.216317,9.258410
r158,1790358668.408403,1790358668.624331,1790358677.666680,14,256,0.215928,9.258277
r159,1790358668.408681,1790358668.624333,1790358677.666937,18,256,0.215652,9.258256
r160,1790358668.408960,1790358668.624335,1790358677.667330,45,256,0.215375,9.258369
r161,1790358668.409403,1790358668.624337,1790358677.667581,41,256,0.214934,9.258178
r162,1790358668.409797,1790358668.624339,1790358674.925702,15,180,0.214542,6.515905
r163,1790358668.410088,1790358668.624341,1790358677.667860,30,256,0.214253,9.257771
r164,1790358668.410429,1790358668.624343,1790358677.668136,24,256,0.213914,9.257706
r165,1790358669.429151,1790358669.508388,1790358670.491325,16,29,0.079237,1.062175
r166,1790358670.491336,1790358670.573235,1790358679.712450,30,256,0.081899,9.221114
r167,1790358674.925719,1790358675.007828,1790358684.169299,16,256,0.082109,9.243580
r168,1790358676.930252,1790358677.013888,1790358686.171545,30,256,0.083637,9.241293
r169,1790358677.621014,1790358677.694450,1790358686.859370,16,256,0.073436,9.238356
r170,1790358677.659400,1790358677.887750,1790358686.896827,24,256,0.228349,9.237427
r171,1790358677.659768,1790358677.887753,1790358686.897237,35,256,0.227985,9.237469
r172,1790358677.660179,1790358677.887755,1790358686.897550,33,256,0.227576,9.237371
r173,1790358677.660561,1790358677.887758,1790358682.881131,17,144,0.227197,5.220570
r174,1790358677.660899,1790358677.887760,1790358686.897847,41,256,0.226861,9.236948
r175,1790358677.661315,1790358677.887762,1790358686.898188,36,256,0.226447,9.236872
r176,1790358677.661674,1790358677.887764,1790358686.898536,30,256,0.226091,9.236862
r177,1790358677.662043,1790358677.887767,1790358686.898908,28,256,0.225724,9.236866
r178,1790358677.662411,1790358677.887769,1790358686.899288,20,256,0.225358,9.236876
r179,1790358677.662759,1790358677.887771,1790358686.899592,13,256,0.225012,9.236833
r180,1790358677.663061,1790358677.887774,1790358686.899843,13,256,0.224713,9.236782
r181,1790358677.663348,1790358677.887776,1790358686.900086,14,256,0.224427,9.236737
r182,1790358677.663629,1790358677.887778,1790358686.900387,12,256,0.224149,9.236758
r183,1790358677.663907,1790358677.887780,1790358686.900633,28,256,0.223874,9.236726
r184,1790358677.664271,1790358677.887783,1790358686.900874,25,256,0.223512,9.236603
r185,1790358677.664613,1790358677.887785,1790358686.901178,16,256,0.223171,9.236565
r186,1790358677.664913,1790358677.887787,1790358686.901409,19,256,0.222874,9.236496
r187,1790358677.665238,1790358677.887789,1790358680.829539,18,86,0.222551,3.164301
r188,1790358677.665560,1790358677.887791,1790358686.901654,13,256,0.222231,9.236093
r189,1790358677.665841,1790358677.887794,1790358686.901886,16,256,0.221952,9.236044
r190,1790358677.666133,1790358677.887796,1790358686.902120,18,256,0.221662,9.235987
r191,1790358677.666433,1790358677.887798,1790358686.902421,15,256,0.221365,9.235987
r192,1790358677.666691,1790358677.887800,1790358686.902658,13,256,0.221109,9.235967
r193,1790358677.666951,1790358677.887802,1790358686.902917,52,256,0.220851,9.235966
r194,1790358677.667341,1790358677.887805,1790358686.903200,19,256,0.220463,9.235858
r195,1790358677.667598,1790358677.887806,1790358686.903477,18,256,0.220208,9.235879
r196,1790358677.667872,1790358677.887809,1790358686.903742,23,256,0.219937,9.235870
r197,1790358677.668152,1790358677.887810,1790358686.904025,40,256,0.219658,9.235873
r198,1790358679.712465,1790358679.791020,1790358688.946637,18,256,0.078555,9.234172
r199,1790358680.829551,1790358680.908002,1790358690.076357,20,256,0.078451,9.246807
r200,1790358682.881144,1790358682.962311,1790358692.135901,19,256,0.081167,9.254757
r201,1790358684.169314,1790358684.252596,1790358693.435780,26,256,0.083282,9.266466
r202,1790358686.171561,1790358686.253470,1790358695.600811,19,256,0.081909,9.429251
r203,1790358686.859385,1790358686.928524,1790358696.312114,35,256,0.069139,9.452729
r204,1790358686.896845,1790358687.116974,1790358696.349209,31,256,0.220129,9.452364
r205,1790358686.897255,1790358687.116977,1790358696.349224,17,256,0.219722,9.451969
r206,1790358686.897563,1790358687.116979,1790358696.349236,32,256,0.219416,9.451673
r207,1790358686.897860,1790358687.116982,1790358696.349249,36,256,0.219122,9.451390
r208,1790358686.898207,1790358687.116984,1790358696.349260,39,256,0.218777,9.451053
r209,1790358686.898548,1790358687.116986,1790358691.320665,30,121,0.218438,4.422117
r210,1790358686.898933,1790358687.116988,1790358696.349269,33,256,0.218055,9.450336
r211,1790358686.899300,1790358687.116991,1790358696.349280,28,256,0.217691,9.449980
r212,1790358686.899604,1790358687.116993,1790358696.349289,15,256,0.217389,9.449685
r213,1790358686.899854,1790358687.116995,1790358696.349298,13,256,0.217141,9.449444
r214,1790358686.900097,1790358687.116997,1790358696.349307,32,256,0.216900,9.449210
r215,1790358686.900398,1790358687.116999,1790358696.349317,21,256,0.216601,9.448919
r216,1790358686.900644,1790358687.117002,1790358696.349325,17,256,0.216358,9.448682
r217,1790358686.900890,1790358687.117003,1790358696.349335,36,256,0.216113,9.448445
r218,1790358686.901189,1790358687.117006,1790358696.349344,12,256,0.215817,9.448155
r219,1790358686.901420,1790358687.117008,1790358696.349352,16,256,0.215588,9.447932
r220,1790358686.901663,1790358687.117010,1790358696.349361,17,256,0.215347,9.447698
r221,1790358686.901895,1790358687.117012,1790358694.187880,18,199,0.215117,7.285985
r222,1790358686.902131,1790358687.117014,1790358696.349369,37,256,0.214883,9.447238
r223,1790358686.902431,1790358687.117016,1790358696.349377,16,256,0.214585,9.446947
r224,1790358686.902667,1790358687.117019,1790358696.349385,25,256,0.214352,9.446718
r225,1790358686.902928,1790358687.117021,1790358693.001517,28,168,0.214092,6.098589
r226,1790358686.903209,1790358687.117023,1790358690.748452,33,105,0.213813,3.845243
r227,1790358686.903486,1790358687.117024,1790358696.349393,26,256,0.213538,9.445907
r228,1790358686.903751,1790358687.117027,1790358696.349401,27,256,0.213276,9.445650
r229,1790358686.904035,1790358687.117029,1790358696.349409,23,256,0.212993,9.445373
r230,1790358688.946652,1790358689.027595,1790358697.825701,27,256,0.080943,8.879049
r231,1790358690.076372,1790358690.155139,1790358695.250332,18,140,0.078767,5.173960
r232,1790358690.748463,1790358690.829031,1790358699.173907,16,256,0.080568,8.425444
r233,1790358691.320681,1790358691.399771,1790358699.593063,39,256,0.079090,8.272382
r234,1790358692.135926,1790358692.227359,1790358700.182789,60,256,0.091433,8.046863
r235,1790358693.001529,1790358693.082024,1790358701.283866,20,256,0.080495,8.282336
r236,1790358701.284092,1790358701.330670,1790358713.161358,41,256,0.046578,11.877266
r237,1790358701.284592,1790358701.683995,1790358713.212950,21,256,0.399402,11.928358
r238,1790358701.284921,1790358701.683998,1790358702.324004,20,16,0.399076,1.039083
r239,1790358701.285192,1790358701.684000,1790358713.213285,35,256,0.398808,11.928093
r240,1790358701.285496,1790358701.684003,1790358713.213646,18,256,0.398506,11.928150
r241,1790358701.285740,1790358701.684005,1790358713.213954,17,256,0.398265,11.928214
r242,1790358701.285969,1790358701.684007,1790358713.214238,17,256,0.398039,11.928269
r243,1790358701.286210,1790358701.684010,1790358713.214547,20,256,0.397800,11.928337
r244,1790358701.286446,1790358701.684012,1790358713.214809,39,256,0.397566,11.928364
r245,1790358701.286766,1790358701.684014,1790358713.215081,49,256,0.397248,11.928315
r246,1790358701.287130,1790358701.684016,1790358713.215363,17,256,0.396887,11.928233
r247,1790358701.287362,1790358701.684019,1790358713.215622,27,256,0.396657,11.928260
r248,1790358701.287621,1790358701.684021,1790358713.215883,22,256,0.396400,11.928262
r249,1790358701.287853,1790358701.684023,1790358713.216168,29,256,0.396170,11.928315
r250,1790358701.288094,1790358701.684026,1790358713.216432,62,256,0.395931,11.928338
r251,1790358701.288454,1790358701.684028,1790358713.216688,19,256,0.395574,11.928234
r252,1790358701.288736,1790358701.684030,1790358713.216930,16,256,0.395294,11.928195
r253,1790358701.289035,1790358701.684032,1790358713.217229,16,256,0.394997,11.928195
r254,1790358701.289301,1790358701.684034,1790358709.719142,35,182,0.394733,8.429841
r255,1790358701.289564,1790358701.684036,1790358713.217531,17,256,0.394473,11.927968
r256,1790358701.289924,1790358701.684039,1790358713.217796,17,256,0.394115,11.927872
r257,1790358701.290183,1790358701.684041,1790358713.218063,31,256,0.393858,11.927880
r258,1790358701.290462,1790358701.684043,1790358713.218325,11,256,0.393581,11.927863
r259,1790358701.290671,1790358701.684045,1790358713.218560,26,256,0.393374,11.927888
r260,1790358701.290900,1790358701.684048,1790358713.218847,17,256,0.393147,11.927946
r261,1790358701.291120,1790358701.684050,1790358713.219192,37,256,0.392929,11.928071
r262,1790358701.291366,1790358701.684052,1790358713.219498,26,256,0.392686,11.928132
r263,1790358701.291616,1790358701.684054,1790358713.219724,32,256,0.392438,11.928108
r264,1790358701.291874,1790358701.684056,1790358712.236040,30,236,0.392182,10.944166
r265,1790358701.292118,1790358701.684058,1790358713.219986,23,256,0.391940,11.927868
r266,1790358701.292370,1790358701.684060,1790358713.220228,19,256,0.391690,11.927858
r267,1790358701.292587,1790358701.684063,1790358713.220514,52,256,0.391476,11.927927
r268,1790358701.292945,1790358701.684065,1790358713.220768,20,256,0.391120,11.927823
r269,1790358701.293180,1790358701.684067,1790358705.700358,17,93,0.390887,4.407179
r270,1790358701.293409,1790358701.684069,1790358713.221219,29,256,0.390660,11.927810
r271,1790358701.293695,1790358701.684071,1790358713.221466,18,256,0.390376,11.927771
r272,1790358701.293928,1790358701.684073,1790358713.221697,19,256,0.390146,11.927769
r273,1790358701.294157,1790358701.684076,1790358713.222011,46,256,0.389919,11.927855
r274,1790358701.294439,1790358701.684078,1790358713.222295,32,256,0.389638,11.927856
r275,1790358701.294680,1790358701.684080,1790358713.222587,17,256,0.389400,11.927907
r276,1790358701.294914,1790358701.684082,1790358713.222861,13,256,0.389168,11.927947
r277,1790358701.295115,1790358701.684084,1790358713.223084,17,256,0.388969,11.927969
r278,1790358701.295327,1790358701.684086,1790358713.223304,19,256,0.388759,11.927977
r279,1790358701.295542,1790358701.684088,1790358713.223593,20,256,0.388546,11.928052
r280,1790358701.295775,1790358701.684090,1790358713.223841,23,256,0.388314,11.928066
r281,1790358701.296025,1790358701.684091,1790358713.224102,15,256,0.388067,11.928077
r282,1790358701.296245,1790358701.684093,1790358713.224350,21,256,0.387848,11.928105
r283,1790358701.296461,1790358701.684095,1790358713.224595,38,256,0.387634,11.928133
r284,1790358701.296750,1790358701.684097,1790358713.224864,20,256,0.387347,11.928114
r285,1790358701.296982,1790358701.684099,1790358713.225158,23,256,0.387118,11.928177
r286,1790358701.297241,1790358701.684101,1790358705.700779,17,93,0.386860,4.403538
r287,1790358701.297451,1790358701.684103,1790358706.819048,13,118,0.386652,5.521597
r288,1790358701.297652,1790358701.684105,1790358707.630688,37,136,0.386454,6.333037
r289,1790358701.297916,1790358701.684115,1790358713.225497,43,256,0.386199,11.927580
r290,1790358701.298207,1790358701.684120,1790358713.225785,16,256,0.385913,11.927578
r291,1790358701.298430,1790358701.684122,1790358713.226041,17,256,0.385692,11.927611
r292,1790358701.298648,1790358701.684124,1790358713.226336,33,256,0.385476,11.927687
r293,1790358701.299038,1790358701.684126,1790358713.226599,13,256,0.385088,11.927562
r294,1790358701.299439,1790358701.684128,1790358703.453099,28,42,0.384689,2.153659
r295,1790358701.299745,1790358701.684131,1790358713.226937,29,256,0.384386,11.927192
r296,1790358701.300027,1790358701.684133,1790358713.227233,16,256,0.384106,11.927206
r297,1790358701.300271,1790358701.684135,1790358713.227511,24,256,0.383864,11.927241
r298,1790358701.300534,1790358701.684137,1790358705.164733,18,81,0.383603,3.864199
r299,1790358701.300765,1790358701.684139,1790358713.227732,16,256,0.383374,11.926967
r300,1790358702.324015,1790358702.429252,1790358714.227215,22,256,0.105237,11.903200
r301,1790358703.453118,1790358703.558444,1790358715.363340,21,256,0.105326,11.910223
r302,1790358705.164745,1790358705.274523,1790358717.079661,26,256,0.109778,11.914916
r303,1790358705.700370,1790358705.807997,1790358717.625231,26,256,0.107627,11.924861
r304,1790358705.700789,1790358705.807999,1790358717.625626,27,256,0.107210,11.924837
r305,1790358706.819060,1790358706.929326,1790358718.752366,22,256,0.110266,11.933306
r306,1790358707.630701,1790358707.740577,1790358719.606002,29,256,0.109877,11.975301
r307,1790358709.719157,1790358709.839851,1790358721.727512,25,256,0.120693,12.008355
r308,1790358712.236058,1790358712.369327,1790358724.235436,25,256,0.133269,11.999378
r309,1790358713.161375,1790358713.256554,1790358720.258400,13,151,0.095179,7.097025
r310,1790358713.212965,1790358713.579742,1790358725.182037,11,256,0.366777,11.969073
r311,1790358713.213304,1790358713.579745,1790358725.182410,28,256,0.366441,11.969106
r312,1790358713.213663,1790358713.579748,1790358725.182685,21,256,0.366086,11.969022
r313,1790358713.213970,1790358713.579750,1790358725.182944,11,256,0.365781,11.968974
r314,1790358713.214253,1790358713.579753,1790358725.183215,24,256,0.365499,11.968962
r315,1790358713.214563,1790358713.579756,1790358725.183633,15,256,0.365193,11.969070
r316,1790358713.214827,1790358713.579758,1790358725.183911,20,256,0.364932,11.969085
r317,1790358713.215096,1790358713.579761,1790358722.146953,17,191,0.364665,8.931857
r318,1790358713.215379,1790358713.579763,1790358725.184193,14,256,0.364384,11.968814
r319,1790358713.215637,1790358713.579766,1790358725.184447,15,256,0.364129,11.968810
r320,1790358713.215898,1790358713.579768,1790358725.184723,25,256,0.363870,11.968825
r321,1790358713.216182,1790358713.579770,1790358725.184973,17,256,0.363588,11.968791
r322,1790358713.216447,1790358713.579773,1790358719.492601,18,134,0.363326,6.276155
r323,1790358713.216702,1790358713.579776,1790358725.185201,17,256,0.363073,11.968498
r324,1790358713.216949,1790358713.579778,1790358725.185829,28,256,0.362829,11.968880
r325,1790358713.217244,1790358713.579781,1790358725.186138,26,256,0.362537,11.968894
r326,1790358713.217545,1790358713.579783,1790358725.186414,20,256,0.362238,11.968868
r327,1790358713.217811,1790358713.579786,1790358725.186651,19,256,0.361975,11.968840
r328,1790358713.218078,1790358713.579788,1790358725.186883,16,256,0.361710,11.968805
r329,1790358713.218339,1790358713.579790,1790358725.187133,14,256,0.361451,11.968793
r330,1790358713.218573,1790358713.579792,1790358725.187361,17,256,0.361219,11.968788
r331,1790358713.218860,1790358713.579795,1790358725.187648,17,256,0.360935,11.968788
r332,1790358713.219207,1790358713.579797,1790358725.187882,18,256,0.360590,11.968676
r333,1790358713.219511,1790358713.579800,1790358725.188122,11,256,0.360289,11.968612
r334,1790358713.219734,1790358713.579802,1790358725.188389,25,256,0.360068,11.968655
r335,1790358713.219996,1790358713.579804,1790358725.188634,13,256,0.359808,11.968637
r336,1790358713.220241,1790358713.579806,1790358723.163157,31,213,0.359565,9.942916
r337,1790358713.220525,1790358713.579809,1790358725.189029,17,256,0.359284,11.968504
r338,1790358713.220778,1790358713.579811,1790358725.189381,91,256,0.359033,11.968603
r339,1790358713.221230,1790358713.579813,1790358725.189647,16,256,0.358583,11.968417
