t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790283813.393689,101.506,210,7601,99.0,26.0,36.0,101.450
1790283813.403675,101.506,210,7601,99.0,26.0,36.0,101.450
1790283813.413689,101.506,210,7601,99.0,26.0,36.0,101.450
1790283813.423675,101.506,210,7601,99.0,26.0,36.0,101.450
1790283813.433688,101.506,210,7601,99.0,26.0,36.0,101.450
1790283813.443679,101.506,210,7601,99.0,26.0,36.0,101.752
1790283813.453672,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.463676,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.473674,101.540,210,7601,99.0,26.0,37.0,101.752
1790283813.483674,101.540,210,7601,99.0,26.0,37.0,101.752
1790283813.493672,101.540,210,7601,99.0,26.0,37.0,101.752
1790283813.503674,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.513672,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.523673,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.533673,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.543672,101.540,210,7601,99.0,26.0,36.0,101.752
1790283813.553671,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.563669,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.573668,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.583671,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.593670,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.603672,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.613677,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.623674,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.633672,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.643673,101.532,210,7601,99.0,26.0,36.0,101.506
1790283813.653673,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.663672,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.673672,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.683673,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.693670,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.703669,101.509,210,7601,99.0,26.0,37.0,101.370
1790283813.713672,101.509,210,7601,99.0,26.0,36.0,101.370
1790283813.723672,101.509,210,7601,99.0,26.0,36.0,101.370
1790283813.733669,101.509,210,7601,99.0,26.0,36.0,101.370
1790283813.743670,101.509,210,7601,99.0,26.0,36.0,101.370
1790283813.753670,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.763669,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.773668,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.783669,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.793671,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.803670,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.813672,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.823672,101.502,210,7601,99.0,26.0,36.0,101.463
1790283813.833675,101.502,210,7601,99.0,26.0,37.0,101.463
1790283813.843674,101.502,210,7601,99.0,26.0,37.0,101.463
1790283813.853675,101.551,210,7601,99.0,26.0,37.0,102.046
1790283813.863671,101.551,210,7601,99.0,26.0,37.0,102.046
1790283813.873672,101.551,210,7601,99.0,26.0,37.0,102.046
1790283813.883672,101.551,210,7601,99.0,26.0,37.0,102.046
1790283813.893672,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.903671,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.913672,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.923672,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.933671,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.943671,101.551,210,7601,99.0,26.0,36.0,102.046
1790283813.953671,101.650,210,7601,99.0,26.0,36.0,102.405
1790283813.963671,101.650,210,7601,99.0,26.0,36.0,102.405
1790283813.973669,101.650,210,7601,99.0,26.0,36.0,102.405
1790283813.983672,101.650,210,7601,99.0,26.0,36.0,102.405
1790283813.993670,101.650,210,7601,99.0,26.0,36.0,102.405
1790283814.003672,101.650,210,7601,99.0,26.0,36.0,102.405
1790283814.013672,101.650,210,7601,99.0,26.0,37.0,102.405
1790283814.023675,101.650,210,7601,99.0,26.0,37.0,102.405
