t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784664099.395869,0.2000,59.9991,2.292732e+11,4.328200e+12,4.324208e+12,54,233,15
1784664099.595869,0.2000,59.5233,2.288224e+11,5.559970e+12,5.553168e+12,117,252,15
1784664099.795869,0.2000,58.3621,2.288412e+11,3.962428e+12,3.962256e+12,0,263,15
1784664099.995869,0.2000,59.8107,2.288475e+11,3.587108e+12,3.587048e+12,0,238,15
1784664100.195869,0.2000,59.5230,2.287741e+11,4.130452e+12,4.127090e+12,51,223,15
1784664100.395869,0.2000,59.2850,2.140584e+11,4.251192e+12,4.248339e+12,44,238,14
1784664100.595869,0.2000,59.6112,2.296675e+11,3.995647e+12,3.995580e+12,0,265,15
1784664100.795869,0.2000,59.7150,2.293865e+11,4.160950e+12,4.159558e+12,18,258,15
1784664100.995869,0.2000,60.0282,2.289838e+11,4.341707e+12,4.338060e+12,54,234,15
1784664101.195869,0.2000,61.3072,2.289398e+11,3.618722e+12,3.617436e+12,18,222,15
1784664101.395869,0.2000,59.2364,2.446265e+11,3.620224e+12,3.620146e+12,0,240,16
1784664101.595869,0.2000,59.6601,2.295710e+11,4.813173e+12,4.805697e+12,97,222,15
1784664101.795869,0.2000,59.2951,2.302023e+11,4.029063e+12,4.027738e+12,17,250,15
1784664101.995869,0.2000,59.4633,2.150168e+11,4.240495e+12,4.237163e+12,40,241,14
1784664102.195869,0.2000,59.5653,2.297283e+11,5.474621e+12,5.466736e+12,107,256,15
1784664102.395869,0.2000,59.0403,2.143814e+11,4.839922e+12,4.834994e+12,72,249,14
1784664102.595870,0.2000,58.1228,2.295417e+11,4.900198e+12,4.895636e+12,65,260,15
1784664102.795869,0.2000,63.2449,2.291768e+11,4.325885e+12,4.323822e+12,31,256,15
1784664102.995870,0.2000,60.3221,2.295794e+11,4.493396e+12,4.490535e+12,42,256,15
1784664103.195869,0.2000,58.2360,2.146162e+11,5.110864e+12,5.106102e+12,70,269,14
1784664103.395870,0.2000,59.9935,2.304393e+11,7.071438e+12,7.060568e+12,157,312,15
1784664103.595870,0.2000,59.6906,2.156145e+11,4.389728e+12,4.389647e+12,0,291,14
1784664103.795870,0.2000,59.8378,2.304518e+11,4.722025e+12,4.719165e+12,35,278,15
1784664103.995870,0.2000,59.6967,2.308440e+11,5.098037e+12,5.095966e+12,29,309,15
1784664104.195870,0.2000,59.2533,2.150378e+11,3.877324e+12,3.877024e+12,0,257,14
1784664104.395870,0.2000,59.1937,2.306511e+11,4.708429e+12,4.704952e+12,42,270,15
1784664104.595870,0.2000,60.7862,2.301750e+11,4.389829e+12,4.387852e+12,26,265,15
1784664104.795870,0.2000,59.3683,2.151678e+11,4.767465e+12,4.763094e+12,56,260,14
1784664104.995870,0.2000,59.5099,2.156334e+11,5.250473e+12,5.245254e+12,66,282,14
1784664105.195870,0.2000,58.0790,2.311041e+11,6.032553e+12,6.027584e+12,67,333,15
1784664105.395870,0.2000,58.0611,2.159815e+11,5.157977e+12,5.156591e+12,20,322,14
1784664105.595870,0.2000,60.6768,2.318171e+11,5.928620e+12,5.925371e+12,42,351,15
1784664105.795870,0.2000,60.1574,2.160863e+11,5.732054e+12,5.727364e+12,60,320,14
1784664105.995870,0.2000,59.7866,2.156690e+11,5.263532e+12,5.260406e+12,41,308,14
1784664106.195870,0.2000,59.0088,2.307350e+11,6.694482e+12,6.686517e+12,115,329,15
1784664106.395870,0.2000,59.8631,2.153125e+11,5.865701e+12,5.859353e+12,88,301,14
1784664106.595870,0.2000,62.6070,2.293781e+11,4.582876e+12,4.579786e+12,40,264,15
1784664106.795870,0.2000,61.0945,2.291537e+11,3.995627e+12,3.993525e+12,31,234,15
1784664106.995871,0.2000,59.6266,2.291369e+11,3.726092e+12,3.723290e+12,34,213,15
1784664107.195870,0.2000,58.6802,2.292669e+11,4.058641e+12,4.054015e+12,58,211,15
1784664107.395871,0.2000,58.5566,2.280863e+11,2.971250e+12,2.968621e+12,33,164,15
1784664107.595870,0.2000,58.9773,2.278304e+11,2.157173e+12,2.157095e+12,0,143,15
1784664107.795871,0.2000,58.7754,2.433367e+11,2.731135e+12,2.729437e+12,22,159,16
1784664107.995871,0.2000,58.5316,2.283148e+11,3.274102e+12,3.269722e+12,55,162,15
1784664108.195871,0.2000,58.7003,2.282079e+11,2.098754e+12,2.098568e+12,0,139,15
1784664108.395871,0.2000,58.4430,2.280967e+11,1.768017e+12,1.767918e+12,0,117,15
1784664108.595871,0.2000,58.3559,2.425860e+11,1.495764e+12,1.495670e+12,0,99,16
1784664108.795871,0.2000,57.6720,2.270545e+11,1.389717e+12,1.388516e+12,13,79,15
1784664108.995871,0.2000,60.2447,2.422253e+11,2.097354e+12,2.094600e+12,35,104,16
1784664109.195871,0.2000,58.2495,2.268573e+11,1.734571e+12,1.732942e+12,19,96,15
1784664109.395871,0.2000,57.9350,2.419107e+11,1.447941e+12,1.447941e+12,0,96,16
1784664109.595871,0.2000,58.3340,2.265427e+11,1.221484e+12,1.221367e+12,0,81,15
1784664109.795871,0.2000,57.8716,2.411641e+11,2.137865e+12,2.135383e+12,55,87,16
1784664109.995871,0.2000,59.8453,2.264547e+11,3.100887e+12,3.097179e+12,87,119,15
1784664110.195871,0.2000,59.3204,2.418457e+11,3.011162e+12,3.008650e+12,55,145,16
1784664110.395871,0.2000,58.7301,2.267441e+11,2.831871e+12,2.828169e+12,71,117,15
1784664110.595871,0.2000,59.8154,2.270230e+11,3.072432e+12,3.069434e+12,57,147,15
1784664110.795871,0.2000,58.7425,2.272369e+11,2.094743e+12,2.094684e+12,0,139,15
1784664110.995872,0.2000,60.7573,2.419862e+11,3.089554e+12,3.084258e+12,80,125,16
1784664111.195871,0.2000,57.5226,2.265847e+11,1.356618e+12,1.356618e+12,0,90,15
1784664111.395872,0.2000,58.6083,2.419442e+11,2.577930e+12,2.573774e+12,64,107,16
1784664111.595871,0.2000,57.4347,2.271656e+11,2.155767e+12,2.154436e+12,21,122,15
1784664111.795872,0.2000,58.7752,2.276312e+11,3.857575e+12,3.852351e+12,88,168,15
1784664111.995872,0.2000,59.8912,2.277906e+11,3.163765e+12,3.162560e+12,21,189,15
1784664112.195872,0.2000,59.2618,2.273292e+11,2.500464e+12,2.500304e+12,0,166,15
1784664112.395872,0.2000,61.0190,2.274697e+11,4.352390e+12,4.347012e+12,108,181,15
1784664112.595872,0.2000,59.5714,2.278891e+11,3.721135e+12,3.718299e+12,50,197,15
1784664112.795872,0.2000,60.1973,2.434479e+11,3.587128e+12,3.585413e+12,27,211,16
1784664112.995872,0.2000,63.3111,2.136453e+11,5.229246e+12,5.222292e+12,114,233,14
1784664113.195872,0.2000,58.4999,2.293928e+11,4.507066e+12,4.504798e+12,35,264,15
1784664113.395872,0.2000,59.2105,2.292523e+11,3.678788e+12,3.678723e+12,0,244,15
1784664113.595872,0.2000,59.9457,2.296654e+11,4.071871e+12,4.070618e+12,18,252,15
1784664113.795872,0.2000,59.1377,2.148218e+11,3.877569e+12,3.876160e+12,18,239,14
1784664113.995872,0.2000,59.1694,2.307035e+11,4.074771e+12,4.074771e+12,0,270,15
1784664114.195872,0.2000,59.0364,2.311858e+11,4.966052e+12,4.962250e+12,44,285,15
1784664114.395872,0.2000,59.4308,2.151300e+11,4.164548e+12,4.162570e+12,25,251,14
1784664114.595872,0.2000,58.8000,2.307077e+11,4.844899e+12,4.840262e+12,54,267,15
1784664114.795872,0.2000,59.3495,2.304581e+11,4.241382e+12,4.238892e+12,27,254,15
1784664114.995872,0.2000,59.4795,2.147798e+11,3.245687e+12,3.245601e+12,0,215,14
1784664115.195872,0.2000,57.2140,2.292607e+11,4.526532e+12,4.519279e+12,88,212,15
1784664115.395873,0.2000,57.9721,2.282184e+11,3.844541e+12,3.839690e+12,73,182,15
1784664115.595872,0.2000,59.5865,2.280674e+11,4.624358e+12,4.619571e+12,87,220,15
1784664115.795873,0.2000,59.2255,2.283694e+11,3.811446e+12,3.810276e+12,20,233,15
1784664115.995872,0.2000,59.5300,2.287469e+11,4.597093e+12,4.592270e+12,76,229,15
1784664116.195873,0.2000,60.6711,2.292271e+11,4.597379e+12,4.594191e+12,50,255,15
1784664116.395873,0.2000,60.1891,2.293445e+11,3.514210e+12,3.513990e+12,0,233,15
1784664116.595873,0.2000,59.0116,2.286483e+11,3.182662e+12,3.181000e+12,20,191,15
1784664116.795873,0.2000,59.6757,2.285812e+11,3.890464e+12,3.886169e+12,61,197,15
1784664116.995873,0.2000,59.8596,2.291768e+11,5.562539e+12,5.554586e+12,123,246,15
1784664117.195873,0.2000,58.8569,2.143352e+11,5.832407e+12,5.825425e+12,112,275,14
1784664117.395873,0.2000,60.8051,2.297472e+11,5.424905e+12,5.421784e+12,52,308,15
1784664117.595873,0.2000,59.9918,2.146917e+11,4.416922e+12,4.415975e+12,14,279,14
1784664117.795873,0.2000,59.6389,2.300785e+11,5.019667e+12,5.017858e+12,27,306,15
1784664117.995873,0.2000,59.5042,2.303218e+11,4.991013e+12,4.988812e+12,30,301,15
1784664118.195873,0.2000,60.9538,2.148490e+11,3.981405e+12,3.981334e+12,0,264,14
1784664118.395873,0.2000,59.2094,2.302904e+11,4.796666e+12,4.793565e+12,42,276,15
1784664118.595873,0.2000,59.4863,2.152202e+11,4.314680e+12,4.313024e+12,19,267,14
1784664118.795873,0.2000,59.7722,2.304770e+11,5.158974e+12,5.154535e+12,58,284,15
1784664118.995873,0.2000,59.1766,2.150944e+11,4.224482e+12,4.222465e+12,25,255,14
1784664119.195873,0.2000,58.9823,2.306657e+11,4.346665e+12,4.344787e+12,21,267,15
1784664119.395874,0.2000,59.3381,2.311607e+11,4.076599e+12,4.076599e+12,0,270,15
1784664119.595873,0.2000,59.3973,2.309908e+11,4.228858e+12,4.226013e+12,28,252,15
1784664119.795874,0.2000,59.8010,2.311502e+11,4.756747e+12,4.751977e+12,53,262,15
1784664119.995873,0.2000,59.0775,2.162562e+11,3.806851e+12,3.806851e+12,0,252,14
1784664120.195874,0.2000,59.7941,2.310390e+11,4.033925e+12,4.031085e+12,26,241,15
1784664120.395874,0.2000,59.1093,2.147484e+11,4.075607e+12,4.070987e+12,52,218,14
1784664120.595874,0.2000,60.3232,2.288999e+11,4.853624e+12,4.848041e+12,88,234,15
1784664120.795874,0.2000,60.7628,2.280904e+11,4.156344e+12,4.154374e+12,36,240,15
1784664120.995874,0.2000,60.1387,2.278157e+11,4.049799e+12,4.048210e+12,33,236,15
1784664121.195874,0.2000,59.6708,2.280758e+11,4.337461e+12,4.334427e+12,60,228,15
1784664121.395874,0.2000,59.3634,2.285959e+11,3.721182e+12,3.721126e+12,0,247,15
1784664121.595874,0.2000,58.9931,2.440204e+11,3.602841e+12,3.602712e+12,0,239,16
1784664121.795874,0.2000,59.9571,2.289587e+11,3.830198e+12,3.827642e+12,37,217,15
1784664121.995874,0.2000,58.5798,2.294997e+11,4.102049e+12,4.099974e+12,29,243,15
1784664122.195874,0.2000,59.2963,2.144044e+11,4.794735e+12,4.790059e+12,66,252,14
1784664122.395874,0.2000,59.7035,2.296046e+11,3.861683e+12,3.860244e+12,17,239,15
1784664122.595874,0.2000,59.3423,2.445132e+11,3.800951e+12,3.799805e+12,15,237,16
1784664122.795874,0.2000,59.5627,2.295836e+11,3.666605e+12,3.665039e+12,18,225,15
1784664122.995874,0.2000,60.6323,2.142450e+11,3.335249e+12,3.333517e+12,18,203,14
1784664123.195874,0.2000,61.4051,2.292292e+11,5.096726e+12,5.089507e+12,103,235,15
1784664123.395875,0.2000,59.2053,2.295291e+11,3.844933e+12,3.844933e+12,0,255,15
1784664123.595874,0.2000,59.3848,2.147882e+11,5.987654e+12,5.977330e+12,143,254,14
1784664123.795875,0.2000,56.9970,2.151552e+11,6.181239e+12,6.173919e+12,109,301,14
1784664123.995874,0.2000,58.5722,2.302799e+11,4.748692e+12,4.748495e+12,0,315,15
1784664124.195875,0.2000,60.4405,2.296969e+11,4.010913e+12,4.010707e+12,0,266,15
1784664124.395875,0.2000,60.8469,2.296046e+11,4.222934e+12,4.220468e+12,34,246,15
1784664124.595875,0.2000,60.9912,2.297074e+11,3.620656e+12,3.620506e+12,0,240,15
1784664124.795875,0.2000,59.6987,2.289167e+11,2.927146e+12,2.926915e+12,0,194,15
1784664124.995875,0.2000,59.8898,2.292334e+11,4.148910e+12,4.143937e+12,64,211,15
1784664125.195875,0.2000,59.2229,2.294326e+11,3.169128e+12,3.169128e+12,0,210,15
1784664125.395875,0.2000,60.3016,2.292942e+11,2.958619e+12,2.958444e+12,0,196,15
1784664125.595875,0.2000,59.7391,2.291956e+11,2.492959e+12,2.492761e+12,0,165,15
1784664125.795875,0.2000,59.1272,2.442427e+11,2.252873e+12,2.252763e+12,0,149,16
1784664125.995875,0.2000,59.3301,2.289880e+11,1.966723e+12,1.966604e+12,0,130,15
1784664126.195875,0.2000,58.7296,2.289041e+11,1.816176e+12,1.816176e+12,0,120,15
1784664126.395875,0.2000,58.8791,2.438610e+11,1.726039e+12,1.725910e+12,0,114,16
1784664126.595875,0.2000,58.2470,2.272726e+11,1.029693e+12,1.029165e+12,0,68,15
1784664126.795875,0.2000,57.7556,2.417094e+11,7.118174e+11,7.116790e+11,0,47,16
1784664126.995875,0.2000,58.9788,2.413004e+11,4.849035e+11,4.849035e+11,0,32,16
1784664127.152308,0.1129,32.9269,1.356480e+11,2.575659e+11,2.574149e+11,0,17,9
