request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r43,1790282762.250252,1790282763.598198,1790282775.579682,11,256,1.347946,13.329430
r44,1790282762.250530,1790282763.598202,1790282775.580171,609,256,1.347672,13.329641
r45,1790282762.252238,1790282763.598204,1790282764.973084,91,9,1.345966,2.720846
r46,1790282762.252782,1790282763.598207,1790282775.580631,232,256,1.345426,13.327850
r47,1790282762.253799,1790282763.598210,1790282775.581036,5,256,1.344411,13.327236
r48,1790282762.254051,1790282764.093346,1790282776.119165,775,256,1.839295,13.865114
r49,1790282762.256255,1790282764.093349,1790282776.119985,6,256,1.837094,13.863730
r50,1790282762.256526,1790282764.093351,1790282776.121012,160,256,1.836825,13.864486
r51,1790282762.257385,1790282764.093353,1790282776.121835,19,256,1.835969,13.864451
r52,1790282762.257719,1790282764.093355,1790282776.122303,775,256,1.835636,13.864584
r53,1790282762.259508,1790282764.093358,1790282776.122720,3,256,1.833850,13.863212
r54,1790282762.259746,1790282764.093360,1790282776.123213,41,256,1.833614,13.863466
r55,1790282762.260093,1790282764.093363,1790282776.123769,44,256,1.833270,13.863676
r56,1790282762.260420,1790282764.093365,1790282776.124279,9,256,1.832945,13.863860
r57,1790282762.260650,1790282764.093367,1790282767.132859,9,63,1.832718,4.872209
r58,1790282762.260858,1790282764.093370,1790282776.131976,18,256,1.832512,13.871119
r59,1790282762.261106,1790282764.093372,1790282776.140116,26,256,1.832266,13.879010
r60,1790282762.261349,1790282764.785050,1790282777.139922,3860,256,2.523701,14.878572
r61,1790282762.267909,1790282764.785053,1790282772.132818,8,183,2.517144,9.864909
r62,1790282762.268203,1790282764.785055,1790282777.141015,10,256,2.516852,14.872812
r63,1790282762.268468,1790282764.785058,1790282777.141595,14,256,2.516590,14.873127
r64,1790282762.268717,1790282764.785060,1790282777.142342,59,256,2.516343,14.873625
r65,1790282764.973101,1790282765.073796,1790282778.543735,13,256,0.100694,13.570634
r66,1790282767.132874,1790282767.237880,1790282780.903907,11,256,0.105005,13.771033
r67,1790282768.071125,1790282768.181303,1790282781.910995,20,256,0.110179,13.839871
r68,1790282770.668181,1790282770.795223,1790282784.704879,51,256,0.127042,14.036699
r69,1790282772.132855,1790282772.257363,1790282786.239290,39,256,0.124508,14.106435
r70,1790282774.940505,1790282775.084641,1790282786.504964,7,194,0.144136,11.564460
r71,1790282774.984691,1790282775.581561,1790282789.439058,19,256,0.596870,14.454367
r72,1790282774.985483,1790282775.581568,1790282779.055364,31,23,0.596085,4.069881
r73,1790282774.986151,1790282775.581574,1790282789.439625,42,256,0.595423,14.453475
r74,1790282774.986853,1790282775.581579,1790282789.440071,118,256,0.594726,14.453218
r75,1790282774.987916,1790282775.581585,1790282789.440442,80,256,0.593669,14.452526
r76,1790282774.988725,1790282775.581592,1790282789.444316,13,256,0.592867,14.455591
r77,1790282774.989165,1790282775.581597,1790282789.444858,6,256,0.592432,14.455692
r78,1790282774.989586,1790282775.581603,1790282789.445138,14,256,0.592016,14.455552
r79,1790282774.990048,1790282775.581608,1790282789.445562,52,256,0.591560,14.455513
r80,1790282774.990664,1790282775.581614,1790282789.446098,6,256,0.590950,14.455434
r81,1790282774.991044,1790282775.581620,1790282789.446367,89,256,0.590576,14.455323
r82,1790282774.991830,1790282775.581625,1790282789.446731,17,256,0.589795,14.454901
r83,1790282774.992260,1790282775.581631,1790282776.140680,10,2,0.589371,1.148421
r84,1790282774.992682,1790282776.613252,1790282789.969376,3557,256,1.620569,14.976694
r85,1790282775.061245,1790282776.613259,1790282789.970062,6,256,1.552014,14.908817
r86,1790282775.061899,1790282776.613264,1790282789.970440,81,256,1.551366,14.908541
r87,1790282775.062842,1790282776.613271,1790282789.970731,19,256,1.550429,14.907890
r88,1790282775.063347,1790282776.613277,1790282780.836161,22,63,1.549929,5.772814
r89,1790282775.063915,1790282776.613282,1790282780.681497,45,60,1.549367,5.617582
r90,1790282775.064564,1790282776.613288,1790282789.972041,16,256,1.548725,14.907477
r91,1790282775.065016,1790282776.613295,1790282789.972831,19,256,1.548279,14.907815
r92,1790282775.065500,1790282776.613300,1790282789.973197,5,256,1.547800,14.907696
r93,1790282775.065917,1790282776.613306,1790282789.973491,18,256,1.547388,14.907574
r94,1790282775.066447,1790282776.613312,1790282789.974142,543,256,1.546865,14.907695
r95,1790282775.069030,1790282776.613318,1790282789.977381,8,256,1.544288,14.908352
r96,1790282775.069344,1790282776.613323,1790282789.977735,19,256,1.543979,14.908391
r97,1790282775.069788,1790282776.613329,1790282789.978358,6,256,1.543542,14.908571
r98,1790282775.070181,1790282776.613334,1790282789.978665,29,256,1.543153,14.908483
r99,1790282775.070708,1790282776.613340,1790282789.979066,59,256,1.542633,14.908358
r100,1790282775.071292,1790282776.613346,1790282789.979319,22,256,1.542054,14.908027
r101,1790282775.071755,1790282776.613351,1790282789.979980,55,256,1.541597,14.908226
r102,1790282775.072335,1790282776.613357,1790282787.801784,6,220,1.541022,12.729449
r103,1790282775.072703,1790282777.143151,1790282790.006381,2585,256,2.070448,14.933677
r104,1790282775.084084,1790282777.143157,1790282790.006995,7,256,2.059073,14.922911
r105,1790282775.574811,1790282777.143163,1790282790.007603,44,256,1.568353,14.432793
r106,1790282775.575622,1790282777.143169,1790282790.007944,33,256,1.567547,14.432322
r107,1790282775.576204,1790282777.143176,1790282790.008271,28,256,1.566972,14.432067
r108,1790282775.576772,1790282777.638677,1790282790.529736,469,256,2.061904,14.952963
r109,1790282775.579320,1790282777.638683,1790282790.530252,8,256,2.059363,14.950932
r110,1790282775.579710,1790282777.638689,1790282790.530673,20,256,2.058979,14.950963
r111,1790282775.580199,1790282777.638694,1790282790.531031,13,256,2.058495,14.950832
r112,1790282775.580655,1790282777.638700,1790282790.531675,9,256,2.058044,14.951020
r113,1790282775.581054,1790282777.638705,1790282790.532813,8,256,2.057651,14.951759
r114,1790282776.119203,1790282777.638710,1790282790.533131,33,256,1.519507,14.413928
r115,1790282776.120016,1790282777.638715,1790282790.533931,84,256,1.518698,14.413915
r116,1790282776.121044,1790282777.638720,1790282790.534239,92,256,1.517676,14.413195
r117,1790282776.121856,1790282777.638725,1790282790.534774,15,256,1.516869,14.412917
r118,1790282776.122333,1790282777.638730,1790282790.535189,8,256,1.516397,14.412856
r119,1790282776.122740,1790282777.638735,1790282790.535454,24,256,1.515996,14.412714
r120,1790282776.123233,1790282777.638741,1790282790.535695,32,256,1.515507,14.412461
r121,1790282776.123793,1790282777.638746,1790282780.795303,31,60,1.514953,4.671510
r122,1790282776.124304,1790282778.152217,1790282790.712112,2034,256,2.027914,14.587809
r123,1790282776.132006,1790282778.380068,1790282790.961746,1993,256,2.248062,14.829740
r124,1790282776.140137,1790282778.380074,1790282790.962243,14,256,2.239937,14.822106
r125,1790282776.140690,1790282778.380079,1790282790.962588,11,256,2.239389,14.821898
r126,1790282777.139983,1790282778.380084,1790282790.962955,59,256,1.240102,13.822972
r127,1790282777.141041,1790282778.380090,1790282789.393203,20,249,1.239049,12.252162
r128,1790282777.141620,1790282778.380095,1790282790.963232,52,256,1.238474,13.821612
r129,1790282777.142368,1790282778.380099,1790282790.964866,23,256,1.237731,13.822498
r130,1790282778.543766,1790282778.653294,1790282791.367412,47,256,0.109528,12.823646
r131,1790282779.055383,1790282779.161994,1790282791.887368,39,256,0.106611,12.831984
r132,1790282780.681514,1790282780.795810,1790282793.630222,9,256,0.114297,12.948709
r133,1790282780.795319,1790282780.904775,1790282783.392506,6,58,0.109456,2.597188
r134,1790282780.836176,1790282780.970978,1790282793.776432,23,256,0.134802,12.940256
r135,1790282780.903936,1790282781.036926,1790282793.823419,41,256,0.132990,12.919483
r136,1790282781.911023,1790282782.044895,1790282794.958193,118,256,0.133872,13.047170
r137,1790282783.392521,1790282783.517126,1790282788.993725,9,124,0.124605,5.601204
r138,1790282784.704903,1790282784.832867,1790282797.983230,10,256,0.127964,13.278327
r139,1790282786.239345,1790282786.375870,1790282799.680040,39,256,0.136524,13.440695
r140,1790282786.504985,1790282786.638555,1790282799.949092,19,256,0.133570,13.444107
r141,1790282787.801808,1790282787.939827,1790282801.326310,27,256,0.138019,13.524503
r142,1790282788.993747,1790282789.166948,1790282802.622685,154,256,0.173201,13.628938
r143,1790282789.393232,1790282789.524411,1790282803.029638,492,256,0.131180,13.636406
r144,1790282789.439082,1790282789.980461,1790282803.078422,31,256,0.541379,13.639340
r145,1790282789.439651,1790282789.980465,1790282792.343234,36,33,0.540814,2.903583
r146,1790282789.440097,1790282789.980469,1790282803.078866,17,256,0.540372,13.638769
r147,1790282789.440470,1790282789.980473,1790282803.079202,1177,256,0.540003,13.638732
r148,1790282789.444340,1790282789.980476,1790282803.079829,72,256,0.536136,13.635490
r149,1790282789.444880,1790282789.980479,1790282803.080302,6,256,0.535599,13.635422
r150,1790282789.445164,1790282789.980483,1790282803.080593,49,256,0.535319,13.635428
r151,1790282789.445587,1790282789.980487,1790282803.080857,76,256,0.534900,13.635270
r152,1790282789.446119,1790282789.980490,1790282796.758201,5,128,0.534371,7.312083
r153,1790282789.446387,1790282789.980494,1790282803.081144,30,256,0.534107,13.634757
r154,1790282789.446750,1790282789.980497,1790282803.081412,3,256,0.533746,13.634662
r155,1790282789.969476,1790282790.536114,1790282803.283225,35,256,0.566638,13.313749
r156,1790282789.970087,1790282790.536118,1790282803.283789,11,256,0.566031,13.313702
r157,1790282789.970468,1790282790.536122,1790282795.003642,5,88,0.565654,5.033174
r158,1790282789.970755,1790282790.536125,1790282803.284116,440,256,0.565370,13.313361
r159,1790282789.972069,1790282790.536129,1790282803.284385,153,256,0.564061,13.312317
r160,1790282789.972855,1790282790.536133,1790282803.284656,26,256,0.563278,13.311801
r161,1790282789.973216,1790282790.536136,1790282803.287654,7,256,0.562920,13.314438
r162,1790282789.973516,1790282790.536139,1790282803.287925,151,256,0.562623,13.314408
r163,1790282789.974183,1790282790.536143,1790282803.288167,996,256,0.561960,13.313984
r164,1790282789.977409,1790282790.536147,1790282803.288515,18,256,0.558738,13.311106
r165,1790282789.977765,1790282790.536151,1790282795.091594,116,89,0.558386,5.113829
r166,1790282789.978376,1790282790.536154,1790282803.288799,12,256,0.557778,13.310424
r167,1790282789.978689,1790282790.712783,1790282803.321737,48,256,0.734094,13.343048
r168,1790282789.979085,1790282790.712787,1790282803.322214,7,256,0.733701,13.343128
r169,1790282789.979342,1790282790.712790,1790282798.860408,178,168,0.733448,8.881066
r170,1790282789.980003,1790282790.712793,1790282803.322591,17,256,0.732790,13.342588
r171,1790282790.006462,1790282790.712796,1790282803.323005,11,256,0.706335,13.316543
r172,1790282790.007016,1790282790.712799,1790282803.323435,34,256,0.705783,13.316418
r173,1790282790.007626,1790282790.712802,1790282803.324699,12,256,0.705176,13.317074
r174,1790282790.007958,1790282790.712805,1790282803.325022,15,256,0.704847,13.317064
r175,1790282790.008288,1790282790.712808,1790282802.574356,272,244,0.704520,12.566069
r176,1790282790.529768,1790282790.965403,1790282803.834112,13,256,0.435635,13.304344
r177,1790282790.530267,1790282790.965409,1790282803.834637,25,256,0.435143,13.304370
r178,1790282790.530693,1790282790.965415,1790282803.834953,22,256,0.434722,13.304260
r179,1790282790.531051,1790282790.965420,1790282803.835627,97,256,0.434370,13.304576
r180,1790282790.531691,1790282790.965424,1790282791.258093,256,5,0.433733,0.726402
r181,1790282790.532827,1790282790.965429,1790282803.842950,15,256,0.432602,13.310124
r182,1790282790.533149,1790282790.965432,1790282803.849012,169,256,0.432283,13.315864
r183,1790282790.533951,1790282790.965435,1790282803.296192,19,254,0.431484,12.762241
r184,1790282790.534258,1790282790.965438,1790282803.849349,93,256,0.431180,13.315092
r185,1790282790.534789,1790282790.965441,1790282803.849715,61,256,0.430652,13.314925
r186,1790282790.535202,1790282790.965445,1790282803.853488,15,256,0.430243,13.318286
r187,1790282790.535469,1790282790.965448,1790282803.853759,8,256,0.429979,13.318290
r188,1790282790.535711,1790282790.965452,1790282803.854832,15,256,0.429741,13.319122
r189,1790282790.712168,1790282791.013426,1790282804.359006,10,256,0.301258,13.646837
r190,1790282790.961805,1790282791.173213,1790282798.378256,10,155,0.211408,7.416451
r191,1790282790.962265,1790282791.173216,1790282794.802237,11,80,0.210951,3.839972
r192,1790282790.962602,1790282791.173218,1790282804.872934,23,256,0.210616,13.910331
r193,1790282790.962975,1790282791.173221,1790282804.873568,8,256,0.210246,13.910593
r194,1790282790.963251,1790282791.173223,1790282804.873883,405,256,0.209972,13.910631
r195,1790282790.964884,1790282791.173226,1790282804.876673,36,256,0.208342,13.911788
r196,1790282791.258115,1790282791.368117,1790282806.661834,62,256,0.110002,15.403719
r197,1790282791.367436,1790282791.467672,1790282806.781473,12,256,0.100237,15.414038
r198,1790282791.887403,1790282792.004336,1790282807.406301,69,256,0.116933,15.518898
r199,1790282792.343248,1790282792.452671,1790282807.866462,11,256,0.109422,15.523214
r200,1790282793.630243,1790282793.740991,1790282809.212422,17,256,0.110748,15.582180
r201,1790282793.776459,1790282793.886742,1790282809.352327,44,256,0.110283,15.575868
r202,1790282793.823442,1790282794.011230,1790282809.397926,331,256,0.187788,15.574484
r203,1790282794.802253,1790282794.922272,1790282810.310357,23,256,0.120018,15.508103
r204,1790282794.958223,1790282795.092173,1790282810.450834,135,256,0.133950,15.492611
r205,1790282795.003658,1790282795.148548,1790282810.494886,33,256,0.144890,15.491228
r206,1790282795.091612,1790282795.209311,1790282810.534956,18,256,0.117699,15.443344
r207,1790282796.758220,1790282796.953606,1790282812.017965,345,256,0.195386,15.259745
r208,1790282797.983258,1790282798.111449,1790282813.050464,26,256,0.128192,15.067206
r209,1790282798.378275,1790282798.502286,1790282807.681625,9,124,0.124011,9.303350
r210,1790282798.860437,1790282799.007764,1790282813.837986,76,256,0.147327,14.977549
r211,1790282799.680074,1790282799.810925,1790282814.569783,11,256,0.130851,14.889710
r212,1790282799.949119,1790282800.079854,1790282802.249887,30,47,0.130736,2.300768
r213,1790282801.326348,1790282801.460939,1790282816.211287,21,256,0.134591,14.884939
r214,1790282802.249941,1790282802.388463,1790282817.102538,26,256,0.138523,14.852597
r215,1790282802.574400,1790282802.706499,1790282817.384442,173,256,0.132099,14.810042
r216,1790282802.622729,1790282802.793493,1790282817.430998,24,256,0.170763,14.808269
r217,1790282803.029678,1790282803.173648,1790282817.750791,99,256,0.143970,14.721113
r218,1790282803.078448,1790282803.296711,1790282817.792809,7,256,0.218263,14.714361
r219,1790282803.078882,1790282803.296715,1790282814.061270,18,176,0.217833,10.982388
r220,1790282803.079243,1790282803.296719,1790282817.792828,90,256,0.217475,14.713585
r221,1790282803.079846,1790282803.296722,1790282817.792844,84,256,0.216876,14.712998
r222,1790282803.080317,1790282803.296726,1790282817.792859,16,256,0.216409,14.712543
r223,1790282803.080606,1790282803.296729,1790282817.792873,18,256,0.216123,14.712267
r224,1790282803.080872,1790282803.296733,1790282817.792886,23,256,0.215860,14.712013
r225,1790282803.081156,1790282803.296737,1790282817.792900,20,256,0.215580,14.711744
r226,1790282803.081425,1790282803.296740,1790282817.792913,5,256,0.215315,14.711488
r227,1790282803.283248,1790282803.855388,1790282817.879678,21,256,0.572140,14.596430
r228,1790282803.283808,1790282803.855398,1790282817.879699,14,256,0.571590,14.595890
r229,1790282803.284136,1790282803.855404,1790282817.879713,7,256,0.571268,14.595577
r230,1790282803.284412,1790282803.855410,1790282817.879728,9,256,0.570997,14.595316
r231,1790282803.284678,1790282803.855416,1790282817.879747,890,256,0.570738,14.595069
r232,1790282803.287669,1790282803.855422,1790282817.879777,6,256,0.567752,14.592108
r233,1790282803.287942,1790282803.855427,1790282817.879791,5,256,0.567485,14.591848
r234,1790282803.288199,1790282803.855431,1790282817.879808,48,256,0.567232,14.591609
r235,1790282803.288530,1790282803.855434,1790282817.879822,20,256,0.566905,14.591292
r236,1790282803.288817,1790282804.359794,1790282817.917316,2612,256,1.070977,14.628499
r237,1790282803.296212,1790282804.359798,1790282817.917384,24,256,1.063585,14.621172
r238,1790282803.321759,1790282804.359802,1790282817.917408,17,256,1.038043,14.595649
r239,1790282803.322230,1790282804.359805,1790282817.917422,18,256,1.037575,14.595192
r240,1790282803.322604,1790282804.359808,1790282817.917435,41,256,1.037204,14.594831
r241,1790282803.323022,1790282804.359811,1790282817.917448,47,256,1.036789,14.594426
r242,1790282803.323456,1790282804.877198,1790282817.955727,331,256,1.553741,14.632271
r243,1790282803.324716,1790282804.877201,1790282817.955754,26,256,1.552485,14.631038
r244,1790282803.325036,1790282804.877204,1790282817.955768,78,256,1.552168,14.630732
r245,1790282803.834132,1790282804.877208,1790282817.955784,27,256,1.043076,14.121652
r246,1790282803.834656,1790282804.877211,1790282817.955798,7,256,1.042556,14.121142
r247,1790282803.834973,1790282804.877215,1790282817.955812,125,256,1.042241,14.120839
r248,1790282803.835648,1790282805.400718,1790282817.987737,2665,256,1.565070,14.152089
r249,1790282803.842974,1790282805.934444,1790282818.017375,2421,256,2.091469,14.174401
r250,1790282803.849034,1790282805.934447,1790282818.017441,12,256,2.085413,14.168407
r251,1790282803.849366,1790282805.934450,1790282816.066025,35,213,2.085084,12.216659
r252,1790282803.849736,1790282806.468461,1790282818.046749,1697,256,2.618724,14.197013
r253,1790282803.853509,1790282806.468463,1790282810.737181,3,89,2.614955,6.883673
r254,1790282803.853777,1790282806.468466,1790282818.046800,318,256,2.614688,14.193023
r255,1790282803.854846,1790282806.468468,1790282818.046824,46,256,2.613622,14.191977
r256,1790282804.359024,1790282806.468471,1790282818.046836,52,256,2.109447,13.687812
r257,1790282804.872955,1790282806.468473,1790282818.046851,49,256,1.595519,13.173897
r258,1790282804.873583,1790282806.468476,1790282818.046867,12,256,1.594893,13.173283
r259,1790282804.873907,1790282806.662526,1790282818.074211,832,256,1.788619,13.200305
r260,1790282804.876687,1790282806.662529,1790282818.074249,15,256,1.785842,13.197562
r261,1790282806.661856,1790282806.782962,1790282812.781936,11,137,0.121106,6.120080
r262,1790282806.781499,1790282806.960536,1790282818.247132,246,256,0.179036,11.465633
