t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784662862.642831,0.2000,58.9631,2.411256e+11,1.307599e+12,1.306083e+12,25,67,17
1784662862.842831,0.2000,58.5009,2.408705e+11,1.475456e+12,1.473985e+12,37,67,17
1784662863.042831,0.2000,58.9953,2.408063e+11,1.475127e+12,1.473535e+12,37,67,17
1784662863.242831,0.2000,58.7651,2.408787e+11,9.649821e+11,9.649821e+11,0,68,17
1784662863.442831,0.2000,59.0582,2.409448e+11,9.654445e+11,9.654445e+11,0,68,17
1784662863.642831,0.2000,59.2019,2.410109e+11,9.659069e+11,9.659069e+11,0,68,17
1784662863.842831,0.2000,59.0644,2.409733e+11,1.192772e+12,1.191893e+12,17,67,17
1784662864.042831,0.2000,58.8662,2.408008e+11,1.290558e+12,1.289669e+12,24,67,17
1784662864.242831,0.2000,58.8814,2.407943e+11,9.643912e+11,9.643912e+11,0,68,17
1784662864.442832,0.2000,58.5823,2.408604e+11,9.648536e+11,9.648536e+11,0,68,17
1784662864.642831,0.2000,58.6698,2.409274e+11,9.653225e+11,9.653225e+11,0,68,17
1784662864.842832,0.2000,59.0255,2.409934e+11,9.657849e+11,9.657849e+11,0,68,17
1784662865.042831,0.2000,59.2679,2.410448e+11,9.520832e+11,9.520040e+11,0,67,17
1784662865.242832,0.2000,59.5107,2.410008e+11,1.292632e+12,1.291069e+12,24,67,17
1784662865.442832,0.2000,58.3528,2.409081e+11,2.327923e+12,2.322682e+12,97,67,17
1784662865.642832,0.2000,61.3815,2.409356e+11,9.512847e+11,9.512397e+11,0,67,17
1784662865.842832,0.2000,58.7464,2.407797e+11,1.247838e+12,1.247100e+12,20,68,17
1784662866.042832,0.2000,58.7686,2.408457e+11,9.647509e+11,9.647509e+11,0,68,17
1784662866.242832,0.2000,58.8665,2.408861e+11,1.319948e+12,1.318548e+12,26,67,17
