t,energy_mj,p_inst_w,p_avg_w,sm_mhz,mem_mhz,temp_c,reasons,on
1790294566.215641,27263008478.0,118.049,97.874,210,7601,44,4,0
1790294566.225635,27263008478.0,118.049,97.874,210,7601,43,4,0
1790294566.2356431,27263008478.0,118.049,97.874,210,7601,43,4,0
1790294566.2456353,27263008478.0,118.049,97.874,210,7601,43,4,0
1790294566.255643,27263008478.0,118.049,97.874,210,7601,43,4,0
1790294566.2656353,27263008478.0,118.049,97.874,1425,7601,43,4,0
1790294566.2756417,27263008478.0,118.049,97.874,1425,7601,43,4,0
1790294566.2856348,27263008478.0,101.809,96.577,1425,7601,43,4,0
1790294566.2956429,27263008478.0,101.809,96.577,1425,7601,43,0,0
1790294566.3098345,27263010061.0,101.809,96.577,1425,7601,43,0,0
1790294566.3281975,27263010061.0,101.809,96.577,1425,7601,43,0,0
1790294566.3445764,27263010061.0,101.809,96.577,1425,7601,43,0,0
1790294566.3626378,27263010061.0,101.809,96.577,1425,7601,43,0,0
1790294566.378786,27263010061.0,101.809,96.577,1425,7601,43,0,0
1790294566.3925056,27263010061.0,101.809,96.577,1785,7601,43,0,0
1790294566.406304,27263013053.0,101.809,96.577,1785,7601,44,0,0
1790294566.424482,27263013053.0,80.395,95.915,1785,7601,44,0,0
1790294566.4427774,27263013053.0,80.395,95.915,1785,7601,43,0,0
1790294566.4586978,27263013053.0,80.395,95.915,1785,7601,43,0,0
1790294566.472994,27263013053.0,80.395,95.915,1785,7601,43,4,0
1790294566.483068,27263013053.0,80.395,95.915,1785,7601,43,4,0
1790294566.4930596,27263013053.0,80.395,95.915,1785,7601,43,0,0
1790294566.5078394,27263016356.0,80.395,95.915,1785,7601,43,0,0
1790294566.5293589,27263016356.0,80.395,95.915,1785,7601,43,4,0
1790294566.5394316,27263016356.0,80.395,95.915,1785,7601,43,4,0
1790294566.5494227,27263016356.0,79.371,96.762,1785,7601,43,4,0
1790294566.5594304,27263016356.0,79.371,96.762,1785,7601,43,4,0
1790294566.569423,27263016356.0,79.371,96.762,1785,7601,43,4,0
1790294566.5794184,27263016356.0,79.371,96.762,1785,7601,43,4,0
1790294566.5894287,27263016356.0,79.371,96.762,1785,7601,44,4,0
1790294566.5994244,27263016356.0,79.371,96.762,1785,7601,44,4,0
1790294566.6094313,27263020826.0,79.371,96.762,1785,7601,44,0,0
1790294566.619421,27263020826.0,79.371,96.762,1785,7601,44,0,0
1790294566.6294284,27263020826.0,79.371,96.762,1935,7601,44,0,0
1790294566.6394205,27263020826.0,79.371,96.762,1935,7601,44,0,0
1790294566.6494308,27263020826.0,82.427,97.315,1935,7601,44,0,0
1790294566.6594217,27263020826.0,82.427,97.315,1935,7601,44,0,0
1790294566.66943,27263020826.0,82.427,97.315,1935,7601,44,0,0
1790294566.679421,27263020826.0,82.427,97.315,1935,7601,44,0,0
1790294566.6894312,27263020826.0,82.427,97.315,1935,7601,44,4,1
1790294566.7015078,27263020826.0,82.427,97.315,1935,7601,45,4,1
1790294566.7133582,27263025078.0,82.427,97.315,1935,7601,45,4,1
1790294566.723401,27263025078.0,82.427,97.315,1935,7601,45,4,1
1790294566.7362924,27263025078.0,82.427,97.315,1890,7601,45,4,1
1790294566.7463608,27263025078.0,82.427,97.315,1890,7601,45,4,1
1790294566.7563567,27263025078.0,123.053,101.503,1890,7601,45,4,1
1790294566.7663631,27263025078.0,123.053,101.503,1890,7601,44,4,1
1790294566.7786314,27263025078.0,123.053,101.503,1890,7601,44,4,1
1790294566.7887,27263025078.0,123.053,101.503,1890,7601,44,4,1
1790294566.7986953,27263025078.0,123.053,101.503,1890,7601,44,4,1
1790294566.8087037,27263028311.0,123.053,101.503,1890,7601,44,4,1
1790294566.8232353,27263028311.0,123.053,101.503,1890,7601,44,4,1
1790294566.8332953,27263028311.0,123.053,101.503,1890,7601,44,4,1
1790294566.843308,27263028311.0,123.053,101.503,210,7601,44,4,1
1790294566.8533006,27263028311.0,123.053,101.503,210,7601,44,4,1
1790294566.8664155,27263028311.0,124.897,102.137,210,7601,44,4,1
