gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
H200,Qwen2-7B-Instruct,sharegpt,16,,2205878991293.155,0.4595581231860739,1.3376684542102162e-10,2390.0342283062014,412.21330259017185,117.191,431491381730.7692,logs/ragged/Qwen2-7B-Instruct/sharegpt_c16
H200,Qwen2-7B-Instruct,sharegpt,4,,2318578948957.8228,0.48303728103287974,1.1279425212661219e-10,642.0910129071959,378.71735790389215,117.191,460945914285.7143,logs/ragged/Qwen2-7B-Instruct/sharegpt_c4
H200,Qwen2-7B-Instruct,sharegpt,64,,1888715714176.4858,0.39348244045343456,2.111930158023688e-10,7705.138709573032,516.199142918363,117.191,349663236085.1064,logs/ragged/Qwen2-7B-Instruct/sharegpt_c64
H200,Qwen2-7B-Instruct,sharegpt,,8.0,2207127026633.3516,0.4598181305486149,1.2767690974467502e-10,1749.1317801699665,399.0115681622088,117.191,434412920171.6738,logs/ragged/Qwen2-7B-Instruct/sharegpt_poisson8
H200,gemma-7b,alpaca,1,,1986355973511.716,0.4138241611482742,1.0284195861151316e-10,115.27307050346727,322.6467591463415,118.367,394591429870.1299,logs/ragged/gemma-7b/alpaca_c1
H200,gemma-7b,alpaca,16,,1940873615621.4912,0.404348669921144,1.286542831734854e-10,1654.014007889311,368.0986407746329,118.367,364524916949.1525,logs/ragged/gemma-7b/alpaca_c16
H200,gemma-7b,alpaca,4,,1975033533935.7693,0.4114653195699519,1.0829668771455822e-10,444.07006716981635,332.2494387755102,118.367,388619160169.4915,logs/ragged/gemma-7b/alpaca_c4
H200,gemma-7b,alpaca,64,,1875853562797.5815,0.39080282558282947,1.974160379588323e-10,5395.364407765068,488.6757191435769,118.367,298576435941.4226,logs/ragged/gemma-7b/alpaca_c64
H200,gemma-7b,alpaca,,8.0,1934800311897.986,0.40308339831208045,1.2878360233555382e-10,1527.3811445979622,367.5663034512698,118.367,364332801293.10345,logs/ragged/gemma-7b/alpaca_poisson8
H200,gemma-7b,sharegpt,1,,1970982415599.1917,0.4106213365831649,1.0406962465084964e-10,114.11375433024436,323.4965653694797,118.367,390367636086.95654,logs/ragged/gemma-7b/sharegpt_c1
H200,gemma-7b,sharegpt,16,,1939068332091.9487,0.40397256918582264,1.4534834022728723e-10,1565.045241908254,400.2077502133106,118.367,341443644491.52545,logs/ragged/gemma-7b/sharegpt_c16
